hogar_alpes_pulsar  | 2026-09-21T04:27:35,082+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ProducerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [standalone-0-477] Created producer on cnx [id: 0x5ca8227e, L:/127.0.0.1:33924 - R:localhost/127.0.0.1:6650]
hogar_alpes_pulsar  | 2026-09-21T04:27:35,083+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ConsumerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-66e56f94-7e3d-4a02-8317-556efe233af7] Subscribing to topic on cnx [id: 0x5ca8227e, L:/127.0.0.1:33924 - R:localhost/127.0.0.1:6650], consumerId 461
hogar_alpes_pulsar  | 2026-09-21T04:27:35,083+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [[id: 0x8430c51b, L:/127.0.0.1:6650 - R:/127.0.0.1:33924]] Subscribing on topic persistent://pulsar/standalone/localhost:8080/healthcheck / healthCheck-66e56f94-7e3d-4a02-8317-556efe233af7. consumerId: 461
hogar_alpes_pulsar  | 2026-09-21T04:27:35,083+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.persistent.PersistentTopic - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-66e56f94-7e3d-4a02-8317-556efe233af7] Creating non-durable subscription at msg id 9223372036854775807:9223372036854775807:-1:-1 - {}
hogar_alpes_pulsar  | 2026-09-21T04:27:35,083+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.bookkeeper.mledger.impl.NonDurableCursorImpl - [pulsar/standalone/localhost:8080/persistent/healthcheck] Created non-durable cursor read-position=7:457 mark-delete-position=7:456
hogar_alpes_pulsar  | 2026-09-21T04:27:35,083+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.bookkeeper.mledger.impl.ManagedLedgerImpl - [pulsar/standalone/localhost:8080/persistent/healthcheck] Opened new cursor: NonDurableCursorImpl{ledger=pulsar/standalone/localhost:8080/persistent/healthcheck, cursor=healthCheck-66e56f94-7e3d-4a02-8317-556efe233af7, ackPos=7:456, readPos=7:457}
hogar_alpes_pulsar  | 2026-09-21T04:27:35,083+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.bookkeeper.mledger.impl.ManagedCursorImpl - [pulsar/standalone/localhost:8080/persistent/healthcheck-healthCheck-66e56f94-7e3d-4a02-8317-556efe233af7] Rewind from 7:457 to 7:457
hogar_alpes_pulsar  | 2026-09-21T04:27:35,083+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.persistent.PersistentTopic - [persistent://pulsar/standalone/localhost:8080/healthcheck] Disabled replicated subscriptions controller
hogar_alpes_pulsar  | 2026-09-21T04:27:35,083+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.persistent.PersistentSubscription - backlog for persistent://pulsar/standalone/localhost:8080/healthcheck - 0
hogar_alpes_pulsar  | 2026-09-21T04:27:35,083+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Created subscription on topic persistent://pulsar/standalone/localhost:8080/healthcheck / healthCheck-66e56f94-7e3d-4a02-8317-556efe233af7
hogar_alpes_pulsar  | 2026-09-21T04:27:35,084+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ConsumerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-66e56f94-7e3d-4a02-8317-556efe233af7] Subscribed to topic on localhost/127.0.0.1:6650 -- consumer: 461
hogar_alpes_pulsar  | 2026-09-21T04:27:35,095+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [SystemTopic{topic=persistent://pulsar/standalone/localhost:8080/healthcheck}][standalone-0-477] Closing producer on cnx /127.0.0.1:33924. producerId=459
hogar_alpes_pulsar  | 2026-09-21T04:27:35,095+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [SystemTopic{topic=persistent://pulsar/standalone/localhost:8080/healthcheck}][standalone-0-477] Closed producer on cnx /127.0.0.1:33924. producerId=459
hogar_alpes_pulsar  | 2026-09-21T04:27:35,095+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Closing consumer: consumerId=461
hogar_alpes_pulsar  | 2026-09-21T04:27:35,095+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.AbstractDispatcherSingleActiveConsumer - Removing consumer Consumer{subscription=PersistentSubscription{topic=persistent://pulsar/standalone/localhost:8080/healthcheck, name=healthCheck-66e56f94-7e3d-4a02-8317-556efe233af7}, consumerId=461, consumerName=35315, address=/127.0.0.1:33924}
hogar_alpes_pulsar  | 2026-09-21T04:27:35,095+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.persistent.PersistentSubscription - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-66e56f94-7e3d-4a02-8317-556efe233af7] Successfully closed subscription [NonDurableCursorImpl{ledger=pulsar/standalone/localhost:8080/persistent/healthcheck, cursor=healthCheck-66e56f94-7e3d-4a02-8317-556efe233af7, ackPos=7:457, readPos=7:458}]
hogar_alpes_pulsar  | 2026-09-21T04:27:35,095+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.persistent.PersistentSubscription - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-66e56f94-7e3d-4a02-8317-556efe233af7] Successfully closed dispatcher for reader
hogar_alpes_pulsar  | 2026-09-21T04:27:35,095+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Closed consumer, consumerId=461
hogar_alpes_pulsar  | 2026-09-21T04:27:35,095+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ProducerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [standalone-0-477] Closed Producer
hogar_alpes_pulsar  | 2026-09-21T04:27:35,095+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ConsumerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [healthCheck-66e56f94-7e3d-4a02-8317-556efe233af7] Closed consumer
hogar_alpes_pulsar  | 2026-09-21T04:27:35,095+0000 [broker-client-shared-internal-executor-19-1] INFO  org.apache.pulsar.broker.admin.impl.BrokersBase - [null] Successfully run health check.
hogar_alpes_pulsar  | 2026-09-21T04:27:35,096+0000 [broker-client-shared-internal-executor-19-1] INFO  org.eclipse.jetty.server.RequestLog - 127.0.0.1 - - [21/Sep/2026:04:27:35 +0000] "GET /admin/v2/brokers/health HTTP/1.1" 200 2 "-" "Pulsar-Java-v3.2.0" 17
hogar_alpes_pulsar  | 2026-09-21T04:27:47,426+0000 [pulsar-web-47-18] INFO  org.apache.pulsar.broker.admin.impl.BrokersBase - [null] Running healthCheck with topic=persistent://pulsar/standalone/localhost:8080/healthcheck
hogar_alpes_pulsar  | 2026-09-21T04:27:47,427+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ProducerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [null] Creating producer on cnx [id: 0x5ca8227e, L:/127.0.0.1:33924 - R:localhost/127.0.0.1:6650]
hogar_alpes_pulsar  | 2026-09-21T04:27:47,427+0000 [broker-topic-workers-OrderedExecutor-7-0] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Created new producer: Producer{topic=SystemTopic{topic=persistent://pulsar/standalone/localhost:8080/healthcheck}, client=/127.0.0.1:33924, producerName=standalone-0-478, producerId=460}
